Cell,AreaShape_Area,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Perimeter
1,0.284896206,0.603193247,0.560920522,0.597784593,0.53066845,0.394273169,0.398374013,0.521246691,0.489198218,0.5,0.556917274,0.560689597,0.525688978
2,0.254831782,0.53500544,0.838768941,0.876577408,0.825392248,0.395646449,0.376985944,0.495260556,0.530334104,0.530330086,0.387579533,0.393581315,0.398651842
3,0.238367931,0.461787737,0.458557465,0.955980861,1,0.307239401,0.291645438,0.605010525,0.584874293,0.559016994,0.425151109,0.465895379,0.350284634
4,0.228346457,0.543603521,0.823845422,0.67382503,0.628402287,0.374405157,0.352796046,0.479779824,0.494523934,0.5,0.392447177,0.384650389,0.432489365
5,0.446671439,0.530292035,0.827888659,0.797783933,0.687481002,0.517771884,0.498571426,0.626460558,0.663316224,0.67224211,0.546235597,0.527452352,0.578310282
6,0.448818898,0.465749199,0.553058865,0.942857142,0.95983379,0.433668025,0.414819968,0.798583652,0.764838901,0.75,0.588670766,0.620248291,0.490608109
7,0.549749463,0.480796865,0.604456855,0.904105557,0.831294166,0.49551765,0.495522031,0.819571908,0.802833405,0.790569415,0.647504807,0.680790049,0.583448077
8,0.274874732,0.466875545,0.492009747,0.923909774,0.895890371,0.334377598,0.329807794,0.60812114,0.60690522,0.559016994,0.460707747,0.49765036,0.397408496
9,0.546886185,0.488678459,0.740181587,0.893567251,0.895203951,0.525809938,0.503376616,0.80094284,0.809278451,0.790569415,0.598856068,0.622803633,0.560769847
10,0.289906943,0.511079322,0.796891728,0.818526315,0.872600483,0.402984814,0.385174618,0.566352114,0.592391086,0.559016994,0.408799143,0.436170847,0.413541174
11,0.545454545,0.730584622,0.965299845,0.785735767,0.609103659,0.735636704,0.667676363,0.605010525,0.639635732,0.707106781,0.444451491,0.455507957,0.678939148
12,0.397995705,0.506011177,0.711350182,0.743191311,0.767482608,0.450808532,0.457151136,0.694995588,0.65688464,0.637377439,0.523896862,0.55471266,0.516656734
13,0.392984968,0.665305675,0.918544133,0.687969924,0.653153653,0.575812196,0.534141091,0.566352114,0.573847575,0.559016994,0.453902128,0.452410641,0.556515752
14,0.174659986,0.4719652,0.291575827,0.853768771,0.826916673,0.257882912,0.253365366,0.491436093,0.488713662,0.5,0.390046866,0.418380434,0.329733451
15,0.269863994,0.511669408,0.787390929,0.952421052,0.816527664,0.387170078,0.390005304,0.556267887,0.562891835,0.530330086,0.416830819,0.426142808,0.412462237
16,0.346456693,0.683521066,0.947736598,0.808688387,0.528382917,0.559826785,0.563544165,0.491436093,0.53338007,0.530330086,0.390965258,0.384872116,0.580961384
17,0.409448819,0.55198004,0.84403339,0.885448916,0.729866405,0.510513126,0.447890921,0.614295117,0.640147436,0.637377439,0.470614817,0.501775621,0.537372326
18,0.690765927,0.537510979,0.792964429,0.822501598,0.762597698,0.635721592,0.642081138,0.85561409,0.820105111,0.883883477,0.703134526,0.692925865,0.682833597
19,0.297780959,0.542556218,0.78819839,0.750676691,0.60581042,0.418846133,0.384479566,0.479779824,0.51904881,0.530330086,0.474618879,0.460364127,0.503010748
20,0.365783822,0.507795388,0.598362303,0.860631578,0.684570049,0.414772669,0.411366672,0.579524854,0.588318431,0.559016994,0.555004121,0.572785696,0.524445632
21,0.687902649,0.498915487,0.706830508,0.798089899,0.7203933,0.586903615,0.593143179,0.885949016,0.838479931,0.883883477,0.711928319,0.726223408,0.701093323
22,0.471725125,0.611939639,0.895266001,0.69951349,0.693796306,0.595443284,0.585731434,0.641342931,0.645353437,0.637377439,0.523262903,0.508549156,0.591596621
23,0.393700787,0.552046377,0.793896326,0.857699805,0.682295804,0.486983623,0.492453753,0.614295117,0.61093634,0.637377439,0.541691649,0.529926004,0.544996815
24,0.702219041,0.732298425,0.952270042,0.689186815,0.551820423,0.82703801,0.802323658,0.68680282,0.708687401,0.707106781,0.544296118,0.554646699,0.809346678
25,0.430923407,0.582596783,0.87500058,0.731174089,0.720779441,0.54818663,0.526914687,0.605010525,0.624649663,0.637377439,0.47533339,0.497824603,0.554748351
26,0.602720115,0.482785781,0.493650301,0.820662768,0.804460928,0.503003624,0.508487169,0.824163383,0.807320369,0.790569415,0.72851483,0.747888557,0.621015639
27,0.282032928,0.704604311,0.955695728,0.791230859,0.638155292,0.516083794,0.482393285,0.412081692,0.482079775,0.5,0.333580101,0.33936362,0.476962124
28,0.347888332,0.459439587,0.42676473,0.983805668,0.974855348,0.367286258,0.343318121,0.716385055,0.699811715,0.707106781,0.531878949,0.565929509,0.428594916
29,0.411596278,0.616842618,0.923266941,0.955678669,0.714251614,0.569335136,0.541106279,0.552865605,0.62202854,0.637377439,0.41625309,0.438872739,0.544637169
30,0.642090193,0.559143465,0.68112266,0.767650834,0.616968566,0.593866585,0.569367845,0.73715414,0.710935842,0.728868987,0.731848332,0.757235595,0.731920097
31,0.353614889,0.636785823,0.929065139,0.821052631,0.581411431,0.538492729,0.528266619,0.50656073,0.561211088,0.559016994,0.389757432,0.405013476,0.559526501
32,0.478167502,0.553725457,0.858894565,0.737578211,0.70451914,0.557346951,0.576680698,0.661616088,0.678072728,0.707106781,0.52743645,0.528410201,0.591072566
33,0.468146027,0.654385087,0.930657506,0.717105262,0.576187409,0.62854792,0.629884621,0.605010525,0.610668751,0.637377439,0.465147843,0.469448736,0.646704618
34,0.133142448,0.524090532,0.760962169,0.686980609,0.67155831,0.27207472,0.263372726,0.347497794,0.384687212,0.395284707,0.291377163,0.312604278,0.31945786
35,0.33285612,0.502174026,0.762944459,0.902255638,0.810491038,0.420661198,0.401495066,0.617358952,0.626320732,0.637377439,0.462503434,0.481854186,0.459781335
36,0.476735863,0.696780888,0.936770831,0.674629637,0.61819438,0.657363466,0.648299652,0.605010525,0.595537693,0.637377439,0.509862766,0.477442825,0.630047884
37,0.585540444,0.568973937,0.82175595,0.73594242,0.593532715,0.611665939,0.63327264,0.700404196,0.700022459,0.707106781,0.68390246,0.631115858,0.712612261
38,0.435934145,0.655391811,0.937553903,0.594025604,0.574619235,0.610115743,0.617302817,0.60812114,0.597014162,0.559016994,0.465385103,0.441486736,0.624910089
39,0.410880458,0.575882881,0.890419076,0.647368421,0.599259768,0.537531781,0.538297893,0.579524854,0.629661482,0.637377439,0.441503074,0.466265418,0.594083314
40,0.244810308,0.529600199,0.75012053,0.647676161,0.639681141,0.368397496,0.377694787,0.495260556,0.500848714,0.5,0.453394926,0.430193715,0.443843893
41,0.219040802,0.561902858,0.871003531,0.743319837,0.552775049,0.383344598,0.403709617,0.447213595,0.480945548,0.5,0.349195637,0.352016433,0.451632791
42,0.674302076,0.470559469,0.532135816,0.94586227,0.908309748,0.530708767,0.52147191,0.961523947,0.905974878,0.883883477,0.734274274,0.770145014,0.618169301
43,0.394416607,0.599699283,0.900568133,0.69047619,0.695681362,0.541054584,0.508487169,0.579524854,0.604589242,0.637377439,0.450888116,0.454017744,0.540218665
44,0.353614889,0.503188033,0.720244009,0.827586207,0.772324001,0.425481366,0.397028909,0.626460558,0.622255241,0.637377439,0.519613506,0.517669339,0.485470314
45,0.438797423,0.473659626,0.61353963,0.910959752,0.800505807,0.440932386,0.441474963,0.747322264,0.727537261,0.707106781,0.555004121,0.601062918,0.53118642
46,0.345025054,0.768364913,0.968224528,0.563742689,0.553862585,0.601696018,0.625908754,0.521246691,0.516930429,0.5,0.364029766,0.365202572,0.566267289
47,0.515390122,0.499765828,0.78046053,0.902255638,0.790828574,0.526366337,0.496959371,0.73715414,0.764788268,0.75,0.556454959,0.586209523,0.579193983
48,0.490336435,0.621194651,0.876833977,0.574925686,0.581925264,0.604354694,0.610184603,0.653004666,0.637965649,0.637377439,0.566839228,0.545987115,0.658583201
49,0.438081603,0.592056777,0.851194379,0.753462603,0.611284216,0.549099792,0.515798897,0.605010525,0.616035304,0.637377439,0.522358668,0.530620775,0.607369654
50,0.345740873,0.491909493,0.737074515,0.902522578,0.839949059,0.419165473,0.415893243,0.626460558,0.640535458,0.637377439,0.489114023,0.498638998,0.460305391
51,0.616320687,0.519792749,0.606892606,0.716927454,0.659017345,0.545828327,0.580379383,0.798583652,0.758647663,0.728868987,0.715085921,0.748353693,0.69382848
52,0.652827487,0.915470832,0.998128722,0.492307692,0.556684544,0.925218157,0.865510495,0.566352114,0.630393559,0.637377439,0.406430749,0.426247859,0.776947738
53,0.478883321,0.507491432,0.795727462,0.855316428,0.876549304,0.515362447,0.502844973,0.719014,0.743272722,0.75,0.545368045,0.558973886,0.530302719
54,0.42519685,0.554811209,0.838345496,0.779954042,0.753436453,0.519814414,0.495522031,0.614295117,0.641006664,0.637377439,0.555056202,0.517593653,0.538975318
55,0.29706514,0.512408939,0.78782825,0.860772621,0.746753405,0.406521724,0.397028909,0.566352114,0.586760683,0.559016994,0.44308556,0.447104448,0.452516492
56,0.368647101,0.529542594,0.75965627,0.765325077,0.73130933,0.453757798,0.443891814,0.632455532,0.622264063,0.637377439,0.52743645,0.522391981,0.509391891
57,0.72226199,0.554410425,0.869103821,0.845176601,0.707988518,0.689354236,0.68312135,0.835531691,0.838906891,0.883883477,0.634389593,0.636304411,0.724655254
58,0.293486042,0.491971738,0.540176042,0.739849624,0.722939419,0.359295903,0.366675312,0.605010525,0.573552331,0.559016994,0.506910937,0.518554941,0.457130233
59,0.396564066,0.78854269,0.97918156,0.875831631,0.622913491,0.65914334,0.616580233,0.491436093,0.548986851,0.530330086,0.353563197,0.368019159,0.572453195
60,0.674302076,0.715299127,0.959310521,0.576499388,0.595482845,0.805373688,0.832857686,0.700404196,0.709470321,0.717987884,0.526309527,0.518214,0.763466162
61,0.484609878,0.700312544,0.94447677,0.644915455,0.629122828,0.668231458,0.588161865,0.52843664,0.612012989,0.637377439,0.457901758,0.467291469,0.629688239
62,0.279885469,0.545164194,0.813375945,0.838530962,0.746776089,0.412545424,0.404151071,0.524853978,0.544668203,0.530330086,0.41625309,0.432876875,0.439230153
63,0.488188976,0.502317546,0.734158552,0.817337462,0.795589955,0.502353612,0.478682512,0.716385055,0.728880409,0.728868987,0.588670766,0.600000161,0.562013194
64,0.538296349,0.527364698,0.793561254,0.698452011,0.734721613,0.556238461,0.537634965,0.68680282,0.721517629,0.728868987,0.615721789,0.605648661,0.614110442
65,0.330708661,0.48035201,0.559868196,0.83368421,0.820372717,0.379011592,0.370304652,0.653004666,0.628810135,0.637377439,0.540494117,0.53940356,0.455527241
66,0.334287759,0.757958415,0.965674612,0.581750233,0.586919901,0.587085031,0.579764574,0.442974508,0.505940221,0.5,0.330309633,0.362612257,0.541462011
67,0.341445956,0.594631609,0.834046269,0.742027483,0.657100124,0.481166284,0.448686465,0.495260556,0.545389891,0.530330086,0.504394196,0.483701839,0.517180789
68,0.246241947,0.493079929,0.729784076,0.965614034,0.927919182,0.353231376,0.342277761,0.552865605,0.569287426,0.530330086,0.393127919,0.424399081,0.36959247
69,0.440229062,0.500981489,0.785730729,0.965021248,0.953126098,0.488487056,0.461035243,0.68680282,0.730835941,0.728868987,0.508753777,0.539195216,0.487597361
70,0.511095204,0.607562401,0.919001377,0.891200333,0.762628896,0.627578343,0.606226607,0.626460558,0.691037621,0.707106781,0.46952186,0.492190955,0.587342527
71,0.85110952,0.49578532,0.677185939,0.794653299,0.756870524,0.64268449,0.620759509,0.990521113,0.940845454,0.901387819,0.798383969,0.823053782,0.76081506
72,0.657122405,0.47317611,0.573049415,0.831835686,0.876057616,0.531843989,0.535641256,0.9376808,0.8907265,0.883883477,0.723185675,0.749466062,0.621375285
73,0.227630637,0.48541197,0.738912961,0.91291866,0.907548456,0.338441058,0.326001146,0.524853978,0.549411806,0.530330086,0.382649973,0.401582947,0.359316879
74,0.299928418,0.57295874,0.84456238,0.735087718,0.749824889,0.445499541,0.424381735,0.566352114,0.552827083,0.530330086,0.455424651,0.437336851,0.453759839
75,0.471009306,0.539194322,0.783069955,0.84125293,0.719636466,0.523368397,0.508487169,0.675724628,0.675138209,0.707106781,0.578129292,0.580319424,0.580437329
76,0.433786686,0.989760079,1,0.738161702,0.438417014,0.785704869,0.808302143,0.491436093,0.520688023,0.530330086,0.347309728,0.353405842,0.713660371
77,0.440944882,0.55489832,0.863519709,0.762848297,0.659938702,0.537355014,0.529109822,0.614295117,0.660582617,0.67224211,0.482422479,0.503425405,0.586458826
78,0.281317108,0.576162137,0.883891892,0.727890106,0.723502255,0.44328246,0.419096576,0.479779824,0.534123718,0.530330086,0.365377713,0.392291305,0.447378697
79,0.385110952,0.487988299,0.748110361,0.923340961,0.859203893,0.442802162,0.42164172,0.675724628,0.691838342,0.707106781,0.504584675,0.518593377,0.480332518
80,0.475304223,0.744158154,0.970921791,0.747537293,0.595071663,0.696249524,0.67246645,0.549442256,0.595497309,0.637377439,0.403824814,0.414549397,0.641207176
81,0.432355047,0.568336853,0.877843303,0.829290617,0.728751786,0.54332725,0.525050096,0.614295117,0.643861855,0.637377439,0.487664242,0.489437332,0.552621303
82,0.386542591,0.489422613,0.531436574,0.819838057,0.798708293,0.410034735,0.424381735,0.68680282,0.664480022,0.637377439,0.5723188,0.595306246,0.499116299
83,0.403006442,0.468229551,0.515974457,0.819306331,0.863704513,0.407751236,0.404151071,0.739709275,0.712478179,0.707106781,0.555966834,0.59799969,0.490084054
84,0.441660702,0.798629575,0.975711765,0.674777853,0.481569269,0.697974787,0.728960724,0.549442256,0.574066266,0.559016994,0.409433492,0.400800679,0.687087692
85,0.355762348,0.497825375,0.764106192,0.909839816,0.874337803,0.433207159,0.40547255,0.60812114,0.648924405,0.637377439,0.472366024,0.495333566,0.457654288
86,0.559770938,0.734174357,0.940693747,0.677496209,0.548708643,0.733113972,0.70974971,0.614295117,0.619944956,0.637377439,0.581330957,0.522496279,0.724655254
87,0.456692913,0.715304482,0.963556386,0.865622703,0.633561207,0.665288292,0.641108393,0.552865605,0.604561034,0.637377439,0.411114944,0.41671787,0.609137056
88,0.488904796,0.469280262,0.413017157,0.927674023,0.927452917,0.438488201,0.424381735,0.80094284,0.767983424,0.75,0.652129842,0.679988612,0.520910828
89,0.560486757,0.856548018,0.987323064,0.551311388,0.55480974,0.821843148,0.750772308,0.52843664,0.601302498,0.637377439,0.433385407,0.426421887,0.72112045
90,0.564065855,0.514911511,0.814004917,0.867045663,0.792620262,0.568781921,0.56591234,0.781870037,0.779620924,0.75,0.599479827,0.596076006,0.605242607
91,0.442376521,0.488980001,0.717846258,0.956656346,0.834671254,0.46847954,0.450471302,0.68680282,0.717863444,0.707106781,0.531878949,0.571744003,0.522318584
92,0.486041518,0.615488798,0.915123591,0.704174228,0.659596818,0.614347307,0.597933913,0.661616088,0.655699882,0.637377439,0.511605515,0.489155738,0.615877844
93,0.824624195,0.484358979,0.729664172,0.933990946,0.938865284,0.639397121,0.619609421,1,1,1,0.735838457,0.768344043,0.672393596
94,0.286327845,0.518046002,0.813996836,0.883327198,0.881384556,0.406915551,0.392739019,0.549442256,0.58107005,0.559016994,0.410481193,0.426448952,0.408927434
95,0.486041518,0.611935061,0.913714808,0.658743633,0.620809359,0.611977749,0.592692062,0.653004666,0.654618698,0.637377439,0.49985948,0.4898913,0.634826034
96,0.216893343,0.462986503,0.357496553,0.959240205,0.939157253,0.287477255,0.278829835,0.556267887,0.550201239,0.530330086,0.41625309,0.456215489,0.344787193
97,0.365783822,0.489355266,0.734620647,0.890308529,0.944464519,0.429502573,0.407665495,0.68680282,0.67858328,0.707106781,0.490558972,0.512664308,0.446494996
98,0.633500358,0.844177545,0.977892778,0.532330826,0.50375008,0.860588956,0.819910924,0.566352114,0.624249911,0.637377439,0.521860101,0.485626672,0.804568528
